product_id,title,current_category,suggested_category,risk_level,source,decision_reason
gid://shopify/Product/10213322326322,"77.95"" outdoor acacia wood frame, 26.38"" deep seat design with soft cushion, three-seater sofa,slatted wood backrest,suitable for porches,gardens,backyards,and balconie (Light Teak+Beige Cushion)",Hardware > Power & Electrical Supplies > Electrical Switches > Light Switches > Three-Way Switches,Hardware > Power & Electrical Supplies > Electrical Switches > Light Switches > Three-Way Switches,high,deepseek,当前分类为电源开关，但产品是户外沙发，完全不匹配。候选分类中无家具类，建议人工选择正确分类。
gid://shopify/Product/10213378949426,"Set of 2 Swivel Counter Stools,Mid-Century Modern Bar Stools with Back,26 Inch Seat Height,Solid Wood Frame,Soft Linen Upholstered Bar Chairs with Footrest,Ideal for Kitchen Island,Black,SW1882BK",,,high,deepseek,没有候选类别，无法匹配。
gid://shopify/Product/10213381439794,"29.5-45.3"" Wide Baby Gate with wall protector for Stairs, Dog Gate Indoor for Doorways, No Drilling Pressure Mounted Pet Gates for Kids, Easy Walk Through Safety Gate, Black",,,high,deepseek,没有候选类别，无法匹配。
gid://shopify/Product/10213382258994,"29.5-45.3"" Wide Baby Gate with wall protector for Stairs, Dog Gate Indoor for Doorways, No Drilling Pressure Mounted Pet Gates for Kids, Easy Walk Through Safety Gate, White",,,high,deepseek,没有候选类别，无法匹配。
gid://shopify/Product/10213383635250,"Set of 2 Swivel Counter Stools,Mid-Century Modern Bar Stools with Back,26 Inch Seat Height,Solid Wood Frame,Soft Linen Upholstered Bar Chairs with Footrest,Ideal for Kitchen Island,Beige,SW1882BG",,,high,deepseek,没有候选类别，无法匹配。
gid://shopify/Product/10213384126770,"2 Pack 29.5-44.1"" Wide Baby Gate for Stairs, Dog Gate Indoor for Doorways, No Drilling Pressure Mounted Pet Gates for Kids, Easy Walk Through Safety Gate, White",,,high,deepseek,没有候选类别，无法匹配。
gid://shopify/Product/10213384519986,"Hexagonal Shade Sail Canopy, Large 206""x118"" UV Block Sun Shade with UPF 50+, Waterproof High-Density Polyester Fabric, Brown Rust-Resistant Poles & Built-in Hooks for Patio Backyard – Light Khaki",Home & Garden > Household Supplies > Storage & Organization > Storage Hooks & Racks > Umbrella Stands & Racks > Umbrella Stands,Home & Garden > Household Supplies > Storage & Organization > Storage Hooks & Racks > Umbrella Stands & Racks > Umbrella Stands,medium,deepseek,产品是六边形遮阳帆，属于户外遮阳用品，当前分类为伞架，不匹配。候选分类中无直接匹配的遮阳帆类别，但伞架分类的属性（如形状、安装方式）部分适用。建议重新分类至更合适的户外遮阳类别。
gid://shopify/Product/10213384716594,"Kids Single Shot Basketball Arcade Game, Indoor Basketball Hoop with 2 Balls & Pump, Foldable Stand for Toddlers & Children",,,high,deepseek,没有候选类别，无法匹配。
gid://shopify/Product/10213384847666,"10LBS Adjustable Weighted Vest for Women, Breathable Workout Vest with Zipper & Lace-Up Design, for Running, Walking & Strength Training",,,high,deepseek,没有候选类别，无法匹配。
gid://shopify/Product/10213385077042,"Outdoor Acacia Wood Club Chair with Handwoven Rope(Set of 2), Light Teak Finish",Furniture > Cabinets & Storage > Vanities > Bedroom Vanities > Lighted Vanities,Furniture > Cabinets & Storage > Vanities > Bedroom Vanities > Lighted Vanities,high,deepseek,产品是户外金合欢木俱乐部椅，当前分类为卧室梳妆台灯，完全不匹配。候选类别中没有户外家具，但当前类别最接近家具大类，且属性包含颜色和材料，可部分映射。建议重新分类到户外家具类别。
gid://shopify/Product/10213385339186,"4-Piece Acacia Wood Outdoor Patio Furniture Set, All-Weather Conversation Sofa Set with Rope Woven Armrests, Removable Cushions for Backyard Garden,Teak finish+Oatmeal rope+Cream Beige cushion",Furniture > Furniture Sets > Bathroom Furniture Sets,Furniture > Furniture Sets > Bathroom Furniture Sets,high,deepseek,产品是户外家具套装，当前分类为浴室家具套装，明显不匹配。候选类别中无户外家具类别，但必须从候选列表中选择。最接近的可能是家具套装类别，但属性不匹配。建议人工审核。
gid://shopify/Product/10213385732402,"Set of 2 20x8.00-8 Lawn Mower Tires and Wheel Assembly, 4-Ply Tubeless Turf Tread Heavy Duty, 3.5"" Centered Hub with 3/4"" Bore and 3/16"" Keyway, Yellow Steel Rim for Zero-Turn Mowers, 905 lbs Capacity",Animals & Pet Supplies > Pet Supplies > Vehicle Pet Barriers > Partitions,Animals & Pet Supplies > Pet Supplies > Vehicle Pet Barriers > Partitions,high,deepseek,产品是割草机轮胎和轮毂组件，与当前宠物用品类别完全不匹配。候选类别中无合适选项，建议重新分类至车辆或户外动力设备相关类别。
gid://shopify/Product/10213394121010,"Summer - 4-Pack Modern Striped Color Block Chairs – Indoor/Outdoor PP Plastic Seat & Sturdy Metal Legs, Vibrant White, Orange, Beige – for Living Room, Balcony, Café, Terrace",Home & Garden > Household Appliances > Climate Control Appliances > Patio Heaters,Home & Garden > Household Appliances > Climate Control Appliances > Patio Heaters,high,deepseek,产品是椅子，当前类别是庭院加热器，完全不匹配。候选类别均为加热器相关，无合适选项。
gid://shopify/Product/10213398511922,"Soft Velvet Upholstered Swivel Adjustable Bar Chair with electroplated gold legs - Dining Room Living Room Bar Cafe Reception Desk Bar Stool(Rusty Orange, Set of 2)",,,high,deepseek,没有候选类别，无法匹配。
gid://shopify/Product/10213408899378,"5 Piece Set Acacia wood Outdoor Sofa Set, outdoor rope-woven chair, deep seat design with soft cushion, suitable for porches, gardens, backyards, and balconies (Light Teak + Beige Rope + Beige Cushion",Home & Garden > Kitchen & Dining > Kitchen Appliance Accessories > Outdoor Grill Accessories > Outdoor Grill Racks & Toppers > Outdoor Grill Toppers,Home & Garden > Kitchen & Dining > Kitchen Appliance Accessories > Outdoor Grill Accessories > Outdoor Grill Racks & Toppers > Outdoor Grill Toppers,high,deepseek,产品是户外沙发套装，与烧烤配件无关，但候选类别中无更合适的户外家具类别，当前类别匹配度极低。
gid://shopify/Product/10213426725170,"Farmhouse Curved Edge TV Stand with Large Cabinets for TVs up to 70"", Minimalist Wood Grain Media Console with Cable Management, Mid Century TV Cabinet with Adjustable Shelves for Living Room, Walnut",,,high,deepseek,没有候选类别，无法匹配。
gid://shopify/Product/10213426954546,"Farmhouse Curved Edge TV Stand with Large Cabinets for TVs up to 70"", Minimalist Wood Grain Media Console with Cable Management, Mid Century TV Cabinet with Adjustable Shelves for Living Room, Black",Toys & Games > Games > Blackjack & Craps Sets > Blackjack Sets,Toys & Games > Games > Blackjack & Craps Sets > Blackjack Sets,high,deepseek,产品是电视柜，与候选类别（黑杰克套装、红茶等）完全不匹配。当前类别错误，但候选列表中没有合适的家具类别，因此选择最接近的玩具游戏类别，但风险极高。
gid://shopify/Product/10213427544370,"Farmhouse Curved Edge TV Stand with Large Cabinets for TVs up to 70"", Minimalist Wood Grain Media Console with Cable Management, Mid Century TV Cabinet with Adjustable Shelves for Living Room, Natural",Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Loose Stones > Natural Stones,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Loose Stones > Natural Stones,high,deepseek,当前分类为天然石材，但产品是电视柜，完全不匹配。候选分类只有这一个，但显然错误。建议重新选择正确分类。
gid://shopify/Product/10213429281074,"30.5 Inch Seat Height Outdoor Acacia Solid Wood Patio Furniture Set, Beige Pe Woven Rope, Breathable and Comfortable,Indoor & Outdoor Use,Teak Finish+Beige Rope(set of 5)",Home & Garden > Plants > Indoor & Outdoor Plants,Home & Garden > Plants > Indoor & Outdoor Plants,high,deepseek,产品是户外家具套装，当前分类为室内外植物，明显不匹配。候选分类中无直接匹配的户外家具套装，但植物分类有户外属性，勉强可选，需人工审核。
gid://shopify/Product/10213429412146,"30.5 Inch Seat Height Outdoor Acacia Solid Wood Patio Furniture Set, Black Pe Woven Rope, Breathable and Comfortable,Indoor & Outdoor Use,Teak Finish+Black Rope(set of 5)",Home & Garden > Plants > Indoor & Outdoor Plants,Home & Garden > Plants > Indoor & Outdoor Plants,high,deepseek,产品是户外家具套装，当前分类为植物类，明显不匹配。候选分类中无直接匹配的户外家具类别，但植物类包含户外属性，可临时归类，需人工审核。
gid://shopify/Product/10213429739826,"4 Piece Set Acacia wood Outdoor Sofa Set, outdoor rope-woven chair, deep seat design with soft cushion, suitable for porches, gardens, backyards, and balconies (Light Teak + Beige Rope + Beige Cushion",Home & Garden > Kitchen & Dining > Kitchen Appliance Accessories > Outdoor Grill Accessories > Outdoor Grill Racks & Toppers > Outdoor Grill Toppers,Home & Garden > Kitchen & Dining > Kitchen Appliance Accessories > Outdoor Grill Accessories > Outdoor Grill Racks & Toppers > Outdoor Grill Toppers,high,deepseek,产品是户外沙发套装，与烧烤配件类别不匹配，但候选类别中无更合适的户外家具类别，需人工审核。
gid://shopify/Product/10213429870898,"73.23"" outdoor acacia wood frame, rope-braided backrest three-seater sofa (Light Teak+Beige Rope+Beige Cushion)",Home & Garden > Household Appliances > Climate Control Appliances > Patio Heaters,Home & Garden > Household Appliances > Climate Control Appliances > Patio Heaters,high,deepseek,产品是户外沙发，当前分类为庭院加热器，明显不匹配。候选类别均为加热器相关，无合适类别，需人工重新分类。
gid://shopify/Product/10213432394034,"4FT Heavy-Duty Steel Drag Harrow,Field Leveling Chain Rake,Compatible with ATV UTV Compact Utility Tractors,Black Coated Durable Construction",Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Safety & Security > Off-Road & Motor Sports Vehicle Protective Gear > ATV & UTV Helmets,Vehicles & Parts > Vehicles > Motor Vehicles > Off-Road and All-Terrain Vehicles > ATVs & UTVs,medium,deepseek,产品是重型钢制拖耙，属于ATV/UTV附件，而非防护装备。最佳匹配是ATV/UTV整车类别，但作为附件，可能需要更具体的子类别。
